technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
RLE_PEAKS,1140,121,8388,360,0.09595559080095163,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0702184392998964,1.153282660628443,0.8509747717328225,1.113797911020813,0.9770962102698698,0.9200281239562762,0.9766748004552737,1.089121097020762
LIB_BINS,1279,233,8276,221,0.1541005291005291,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0918278318206203,1.1021576273057798,1.0676241803027133,1.0958687607621973,0.9097465264893874,0.9028310152141339,0.9097747783606523,0.9201692797445156
TMM_BINS,1268,222,8287,232,0.14899328859060404,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0886066758210222,1.0992123537325453,1.0654475311905722,1.0926795099338735,0.9120020647782493,0.9057981403115534,0.9114301432654309,0.9229437305773917
RLE_BINS,1268,221,8288,232,0.14842175957018133,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0964454746721937,1.1052264525287998,1.0731478744554086,1.0981480479191004,0.9168503012415558,0.9095835690306697,0.9165345786684062,0.9266528796720949
DBA_NORM_OFFSETS_ADJUST,1262,224,8285,238,0.15074024226110364,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,1113,41,8297,387,0.03552859618717504,1480,9818,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1493,229,7783,507,0.1329849012775842,2000,10012,2000,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,0.7892527464377518,1.085825098399044,0.6140015531730748,0.873746277679619,1.3724600020178308,1.1193528748107533,1.0921056433151228,1.296396491731962
LIB_PEAKS,1791,381,7631,209,0.17541436464088397,2000,10012,2000,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,0.8659270302260649,1.1602617640878201,0.6903860611572793,0.9487746786883391,1.2121852165465752,0.9963863146478319,0.9708192740344342,1.1552596606116554
TMM_PEAKS,1611,209,7803,389,0.11483516483516483,2000,10012,2000,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,0.8085365927076152,1.0809666218859753,0.6540950402685977,0.8874621280453889,1.2949694905527254,1.0622535508110753,1.0329036033591839,1.2366788784955198
RLE_PEAKS,1628,211,7801,372,0.11473626971179988,2000,10012,2000,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,0.8359410545570656,1.1146222978591205,0.6769622320956801,0.9175499247656171,1.3244012407863963,1.0885696812764907,1.0620178470110866,1.264998589531122
LIB_BINS,1836,2808,5204,164,0.6046511627906976,2000,10012,2000,1,0.2,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.061983826215661,1.0980769875711822,1.041614606040687,1.0739430362624562,0.9460439513758001,0.9199777314221707,0.9177338815517353,0.9406259795603074
